brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating
HP,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,41250,46602,11,4.1
HP,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,44990,52900,14,0
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.7
DELL,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,60790,78307,22,4.4
HP,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45650,55202,17,4.1
DELL,Vostro,Intel,Core i3,10th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,49826,15,3.9
DELL,Inspiron,Intel,Core i3,10th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,45490,60046,24,4.2
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14.1,1,No,Yes,44990,58990,23,0
Lenovo,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,42990,63790,32,4.4
HP,15s,Intel,Core i3,11th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,45490,46990,3,4.3
HP,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38799,47916,19,4.4
HP,Pavilion,Intel,Core i3,11th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,Yes,Yes,69267,87136,0,0
ASUS,VivoBook,Intel,Core i3,11th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,51649,62990,18,0
HP,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,47990,51165,6,4.3
ASUS,VivoBook,Intel,Core i3,10th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,40990,49990,18,4.4
ASUS,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42990,50990,15,4.4
ASUS,VivoBook,Intel,Core i3,11th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,44890,56999,21,3.9
ASUS,VivoBook,Intel,Core i3,10th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,41490,49990,17,4.4
HP,15s,Intel,Core i3,11th,4  GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,No,50990,51748,1,0
HP,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,48900,50000,2,4.3
